FIPS	State	County	Variable	pcnt_free_lunch
6077	California	San Joaquin	pcnt_free_lunch	51
6079	California	San Luis Obispo	pcnt_free_lunch	34
6081	California	San Mateo	pcnt_free_lunch	29
6083	California	Santa Barbara	pcnt_free_lunch	45
6085	California	Santa Clara	pcnt_free_lunch	31
6087	California	Santa Cruz	pcnt_free_lunch	43
6089	California	Shasta	pcnt_free_lunch	42
6091	California	Sierra	pcnt_free_lunch	33
6093	California	Siskiyou	pcnt_free_lunch	52
6095	California	Solano	pcnt_free_lunch	37
6097	California	Sonoma	pcnt_free_lunch	35
6099	California	Stanislaus	pcnt_free_lunch	54
6101	California	Sutter	pcnt_free_lunch	45
6103	California	Tehama	pcnt_free_lunch	61
6105	California	Trinity	pcnt_free_lunch	48
6107	California	Tulare	pcnt_free_lunch	66
6109	California	Tuolumne	pcnt_free_lunch	37
6111	California	Ventura	pcnt_free_lunch	37
6113	California	Yolo	pcnt_free_lunch	43
6115	California	Yuba	pcnt_free_lunch	58
8001	Colorado	Adams	pcnt_free_lunch	42
8003	Colorado	Alamosa	pcnt_free_lunch	56
8005	Colorado	Arapahoe	pcnt_free_lunch	32
8007	Colorado	Archuleta	pcnt_free_lunch	40
8009	Colorado	Baca	pcnt_free_lunch	40
8011	Colorado	Bent	pcnt_free_lunch	59
8013	Colorado	Boulder	pcnt_free_lunch	22
8014	Colorado	Broomfield	pcnt_free_lunch	15
8015	Colorado	Chaffee	pcnt_free_lunch	27
8017	Colorado	Cheyenne	pcnt_free_lunch	25
8019	Colorado	Clear Creek	pcnt_free_lunch	19
8021	Colorado	Conejos	pcnt_free_lunch	55
8023	Colorado	Costilla	pcnt_free_lunch	69
8025	Colorado	Crowley	pcnt_free_lunch	60
8027	Colorado	Custer	pcnt_free_lunch	30
8029	Colorado	Delta	pcnt_free_lunch	37
8031	Colorado	Denver	pcnt_free_lunch	64
8033	Colorado	Dolores	pcnt_free_lunch	36
8035	Colorado	Douglas	pcnt_free_lunch	8
8037	Colorado	Eagle	pcnt_free_lunch	31
8039	Colorado	Elbert	pcnt_free_lunch	16
8041	Colorado	El Paso	pcnt_free_lunch	27
