FIPS	State	County	Variable	age_adjusted_premature_mortality
8023	Colorado	Costilla	age_adjusted_premature_mortality	356
8025	Colorado	Crowley	age_adjusted_premature_mortality	288
8027	Colorado	Custer	age_adjusted_premature_mortality	234
8029	Colorado	Delta	age_adjusted_premature_mortality	338.5
8031	Colorado	Denver	age_adjusted_premature_mortality	386.2
8033	Colorado	Dolores	age_adjusted_premature_mortality	329.4
8035	Colorado	Douglas	age_adjusted_premature_mortality	178.3
8037	Colorado	Eagle	age_adjusted_premature_mortality	147.4
8039	Colorado	Elbert	age_adjusted_premature_mortality	255.3
8041	Colorado	El Paso	age_adjusted_premature_mortality	296.2
8043	Colorado	Fremont	age_adjusted_premature_mortality	387.7
8045	Colorado	Garfield	age_adjusted_premature_mortality	257.7
8047	Colorado	Gilpin	age_adjusted_premature_mortality	276.4
8049	Colorado	Grand	age_adjusted_premature_mortality	205.2
8051	Colorado	Gunnison	age_adjusted_premature_mortality	211.4
8053	Colorado	Hinsdale	age_adjusted_premature_mortality	
8055	Colorado	Huerfano	age_adjusted_premature_mortality	466.7
8057	Colorado	Jackson	age_adjusted_premature_mortality	
8059	Colorado	Jefferson	age_adjusted_premature_mortality	270.4
8061	Colorado	Kiowa	age_adjusted_premature_mortality	458.3
8063	Colorado	Kit Carson	age_adjusted_premature_mortality	352.8
8065	Colorado	Lake	age_adjusted_premature_mortality	305.6
8067	Colorado	La Plata	age_adjusted_premature_mortality	231.8
8069	Colorado	Larimer	age_adjusted_premature_mortality	236.8
8071	Colorado	Las Animas	age_adjusted_premature_mortality	436.7
8073	Colorado	Lincoln	age_adjusted_premature_mortality	318.9
8075	Colorado	Logan	age_adjusted_premature_mortality	304.1
8077	Colorado	Mesa	age_adjusted_premature_mortality	337
8079	Colorado	Mineral	age_adjusted_premature_mortality	
8081	Colorado	Moffat	age_adjusted_premature_mortality	357.6
8083	Colorado	Montezuma	age_adjusted_premature_mortality	393.9
8085	Colorado	Montrose	age_adjusted_premature_mortality	314.1
8087	Colorado	Morgan	age_adjusted_premature_mortality	362.5
8089	Colorado	Otero	age_adjusted_premature_mortality	449.7
8091	Colorado	Ouray	age_adjusted_premature_mortality	183
8093	Colorado	Park	age_adjusted_premature_mortality	239.1
8095	Colorado	Phillips	age_adjusted_premature_mortality	348.4
