FIPS	State	County	Variable	mph_rate
17031	Illinois	Cook	mph_rate	0
17033	Illinois	Crawford	mph_rate	
17035	Illinois	Cumberland	mph_rate	0
17037	Illinois	DeKalb	mph_rate	0
17039	Illinois	De Witt	mph_rate	
17041	Illinois	Douglas	mph_rate	0
17043	Illinois	DuPage	mph_rate	0
17045	Illinois	Edgar	mph_rate	0
17047	Illinois	Edwards	mph_rate	
17049	Illinois	Effingham	mph_rate	0
17051	Illinois	Fayette	mph_rate	
17053	Illinois	Ford	mph_rate	0
17055	Illinois	Franklin	mph_rate	0
17057	Illinois	Fulton	mph_rate	0
17059	Illinois	Gallatin	mph_rate	
17061	Illinois	Greene	mph_rate	
17063	Illinois	Grundy	mph_rate	0
17065	Illinois	Hamilton	mph_rate	
17067	Illinois	Hancock	mph_rate	
17069	Illinois	Hardin	mph_rate	
17071	Illinois	Henderson	mph_rate	
17073	Illinois	Henry	mph_rate	0
17075	Illinois	Iroquois	mph_rate	0
17077	Illinois	Jackson	mph_rate	0
17079	Illinois	Jasper	mph_rate	
17081	Illinois	Jefferson	mph_rate	0
17083	Illinois	Jersey	mph_rate	
17085	Illinois	Jo Daviess	mph_rate	0
17087	Illinois	Johnson	mph_rate	
17089	Illinois	Kane	mph_rate	0
17091	Illinois	Kankakee	mph_rate	0
17093	Illinois	Kendall	mph_rate	0
17095	Illinois	Knox	mph_rate	0
17097	Illinois	Lake	mph_rate	0
17099	Illinois	LaSalle	mph_rate	0
17101	Illinois	Lawrence	mph_rate	0
17103	Illinois	Lee	mph_rate	0
17105	Illinois	Livingston	mph_rate	0
17107	Illinois	Logan	mph_rate	0
17109	Illinois	McDonough	mph_rate	0
17111	Illinois	McHenry	mph_rate	0
17113	Illinois	McLean	mph_rate	0
17115	Illinois	Macon	mph_rate	0
17117	Illinois	Macoupin	mph_rate	0
17119	Illinois	Madison	mph_rate	0
17121	Illinois	Marion	mph_rate	0
17123	Illinois	Marshall	mph_rate	
17125	Illinois	Mason	mph_rate	0
17127	Illinois	Massac	mph_rate	
17129	Illinois	Menard	mph_rate	0
17131	Illinois	Mercer	mph_rate	
17133	Illinois	Monroe	mph_rate	0
17135	Illinois	Montgomery	mph_rate	0
17137	Illinois	Morgan	mph_rate	0
17139	Illinois	Moultrie	mph_rate	
17141	Illinois	Ogle	mph_rate	0
17143	Illinois	Peoria	mph_rate	0
17145	Illinois	Perry	mph_rate	
17147	Illinois	Piatt	mph_rate	0
17149	Illinois	Pike	mph_rate	
17151	Illinois	Pope	mph_rate	
17153	Illinois	Pulaski	mph_rate	
17155	Illinois	Putnam	mph_rate	
17157	Illinois	Randolph	mph_rate	0
17159	Illinois	Richland	mph_rate	0
17161	Illinois	Rock Island	mph_rate	0
