FIPS	State	County	Variable	infant_mortality_rate
8021	Colorado	Conejos	infant_mortality_rate	
8023	Colorado	Costilla	infant_mortality_rate	
8025	Colorado	Crowley	infant_mortality_rate	
8027	Colorado	Custer	infant_mortality_rate	
8029	Colorado	Delta	infant_mortality_rate	
8031	Colorado	Denver	infant_mortality_rate	799.5
8033	Colorado	Dolores	infant_mortality_rate	
8035	Colorado	Douglas	infant_mortality_rate	401.7
8037	Colorado	Eagle	infant_mortality_rate	423
8039	Colorado	Elbert	infant_mortality_rate	
8041	Colorado	El Paso	infant_mortality_rate	756.9
8043	Colorado	Fremont	infant_mortality_rate	677.6
8045	Colorado	Garfield	infant_mortality_rate	436.4
8047	Colorado	Gilpin	infant_mortality_rate	
8049	Colorado	Grand	infant_mortality_rate	
8051	Colorado	Gunnison	infant_mortality_rate	
8053	Colorado	Hinsdale	infant_mortality_rate	
8055	Colorado	Huerfano	infant_mortality_rate	
8057	Colorado	Jackson	infant_mortality_rate	
8059	Colorado	Jefferson	infant_mortality_rate	548.8
8061	Colorado	Kiowa	infant_mortality_rate	
8063	Colorado	Kit Carson	infant_mortality_rate	
8065	Colorado	Lake	infant_mortality_rate	
8067	Colorado	La Plata	infant_mortality_rate	
8069	Colorado	Larimer	infant_mortality_rate	475.7
8071	Colorado	Las Animas	infant_mortality_rate	
8073	Colorado	Lincoln	infant_mortality_rate	
8075	Colorado	Logan	infant_mortality_rate	
8077	Colorado	Mesa	infant_mortality_rate	433.1
8079	Colorado	Mineral	infant_mortality_rate	
8081	Colorado	Moffat	infant_mortality_rate	
8083	Colorado	Montezuma	infant_mortality_rate	985.8
8085	Colorado	Montrose	infant_mortality_rate	836.2
8087	Colorado	Morgan	infant_mortality_rate	680.3
8089	Colorado	Otero	infant_mortality_rate	
8091	Colorado	Ouray	infant_mortality_rate	
8093	Colorado	Park	infant_mortality_rate	
8095	Colorado	Phillips	infant_mortality_rate	
8097	Colorado	Pitkin	infant_mortality_rate	
8099	Colorado	Prowers	infant_mortality_rate	
8101	Colorado	Pueblo	infant_mortality_rate	610.5
8103	Colorado	Rio Blanco	infant_mortality_rate	
8105	Colorado	Rio Grande	infant_mortality_rate	
8107	Colorado	Routt	infant_mortality_rate	
8109	Colorado	Saguache	infant_mortality_rate	
8111	Colorado	San Juan	infant_mortality_rate	
8113	Colorado	San Miguel	infant_mortality_rate	
8115	Colorado	Sedgwick	infant_mortality_rate	
8117	Colorado	Summit	infant_mortality_rate	
8119	Colorado	Teller	infant_mortality_rate	
8121	Colorado	Washington	infant_mortality_rate	
8123	Colorado	Weld	infant_mortality_rate	579.9
8125	Colorado	Yuma	infant_mortality_rate	
9001	Connecticut	Fairfield	infant_mortality_rate	504.2
9003	Connecticut	Hartford	infant_mortality_rate	692.8
9005	Connecticut	Litchfield	infant_mortality_rate	405.2
9007	Connecticut	Middlesex	infant_mortality_rate	397.6
