FIPS	State	County	Variable	homicide_rate
12087	Florida	Monroe	homicide_rate	5
12089	Florida	Nassau	homicide_rate	4
12091	Florida	Okaloosa	homicide_rate	3
12093	Florida	Okeechobee	homicide_rate	5
12095	Florida	Orange	homicide_rate	8
12097	Florida	Osceola	homicide_rate	5
12099	Florida	Palm Beach	homicide_rate	7
12101	Florida	Pasco	homicide_rate	5
12103	Florida	Pinellas	homicide_rate	5
12105	Florida	Polk	homicide_rate	5
12107	Florida	Putnam	homicide_rate	8
12109	Florida	St. Johns	homicide_rate	3
12111	Florida	St. Lucie	homicide_rate	5
12113	Florida	Santa Rosa	homicide_rate	3
12115	Florida	Sarasota	homicide_rate	4
12117	Florida	Seminole	homicide_rate	5
12119	Florida	Sumter	homicide_rate	3
12121	Florida	Suwannee	homicide_rate	5
12123	Florida	Taylor	homicide_rate	9
12125	Florida	Union	homicide_rate	
12127	Florida	Volusia	homicide_rate	5
12129	Florida	Wakulla	homicide_rate	5
12131	Florida	Walton	homicide_rate	5
12133	Florida	Washington	homicide_rate	10
13001	Georgia	Appling	homicide_rate	10
13003	Georgia	Atkinson	homicide_rate	
13005	Georgia	Bacon	homicide_rate	
13007	Georgia	Baker	homicide_rate	
13009	Georgia	Baldwin	homicide_rate	8
13011	Georgia	Banks	homicide_rate	
13013	Georgia	Barrow	homicide_rate	5
13015	Georgia	Bartow	homicide_rate	4
13017	Georgia	Ben Hill	homicide_rate	8
13019	Georgia	Berrien	homicide_rate	
13021	Georgia	Bibb	homicide_rate	15
13023	Georgia	Bleckley	homicide_rate	
13025	Georgia	Brantley	homicide_rate	10
13027	Georgia	Brooks	homicide_rate	
13029	Georgia	Bryan	homicide_rate	
13031	Georgia	Bulloch	homicide_rate	3
13033	Georgia	Burke	homicide_rate	12
13035	Georgia	Butts	homicide_rate	8
13037	Georgia	Calhoun	homicide_rate	
13039	Georgia	Camden	homicide_rate	5
13043	Georgia	Candler	homicide_rate	
13045	Georgia	Carroll	homicide_rate	5
13047	Georgia	Catoosa	homicide_rate	3
13049	Georgia	Charlton	homicide_rate	
13051	Georgia	Chatham	homicide_rate	12
13053	Georgia	Chattahoochee	homicide_rate	
13055	Georgia	Chattooga	homicide_rate	
13057	Georgia	Cherokee	homicide_rate	2
13059	Georgia	Clarke	homicide_rate	5
13061	Georgia	Clay	homicide_rate	
13063	Georgia	Clayton	homicide_rate	12
13065	Georgia	Clinch	homicide_rate	
13067	Georgia	Cobb	homicide_rate	5
13069	Georgia	Coffee	homicide_rate	7
13071	Georgia	Colquitt	homicide_rate	12
13073	Georgia	Columbia	homicide_rate	2
13075	Georgia	Cook	homicide_rate	9
13077	Georgia	Coweta	homicide_rate	4
13079	Georgia	Crawford	homicide_rate	
13081	Georgia	Crisp	homicide_rate	12
13083	Georgia	Dade	homicide_rate	
13085	Georgia	Dawson	homicide_rate	
13087	Georgia	Decatur	homicide_rate	7
13089	Georgia	DeKalb	homicide_rate	14
13091	Georgia	Dodge	homicide_rate	8
13093	Georgia	Dooly	homicide_rate	
13095	Georgia	Dougherty	homicide_rate	9
13097	Georgia	Douglas	homicide_rate	5
13099	Georgia	Early	homicide_rate	
13101	Georgia	Echols	homicide_rate	
13103	Georgia	Effingham	homicide_rate	4
13105	Georgia	Elbert	homicide_rate	
13107	Georgia	Emanuel	homicide_rate	10
13109	Georgia	Evans	homicide_rate	
13111	Georgia	Fannin	homicide_rate	
13113	Georgia	Fayette	homicide_rate	3
13115	Georgia	Floyd	homicide_rate	4
13117	Georgia	Forsyth	homicide_rate	1
13119	Georgia	Franklin	homicide_rate	
13121	Georgia	Fulton	homicide_rate	14
13123	Georgia	Gilmer	homicide_rate	
13125	Georgia	Glascock	homicide_rate	
13127	Georgia	Glynn	homicide_rate	10
13129	Georgia	Gordon	homicide_rate	5
13131	Georgia	Grady	homicide_rate	
13133	Georgia	Greene	homicide_rate	
13135	Georgia	Gwinnett	homicide_rate	5
13137	Georgia	Habersham	homicide_rate	
13139	Georgia	Hall	homicide_rate	3
13141	Georgia	Hancock	homicide_rate	
13143	Georgia	Haralson	homicide_rate	5
13145	Georgia	Harris	homicide_rate	5
13147	Georgia	Hart	homicide_rate	
13149	Georgia	Heard	homicide_rate	
13151	Georgia	Henry	homicide_rate	4
13153	Georgia	Houston	homicide_rate	5
13155	Georgia	Irwin	homicide_rate	
13157	Georgia	Jackson	homicide_rate	4
13159	Georgia	Jasper	homicide_rate	
13161	Georgia	Jeff Davis	homicide_rate	
13163	Georgia	Jefferson	homicide_rate	9
13165	Georgia	Jenkins	homicide_rate	
13167	Georgia	Johnson	homicide_rate	
13169	Georgia	Jones	homicide_rate	
13171	Georgia	Lamar	homicide_rate	
13173	Georgia	Lanier	homicide_rate	
13175	Georgia	Laurens	homicide_rate	6
13177	Georgia	Lee	homicide_rate	
13179	Georgia	Liberty	homicide_rate	8
13181	Georgia	Lincoln	homicide_rate	
13183	Georgia	Long	homicide_rate	
13185	Georgia	Lowndes	homicide_rate	6
13187	Georgia	Lumpkin	homicide_rate	
13189	Georgia	McDuffie	homicide_rate	7
13191	Georgia	McIntosh	homicide_rate	
13193	Georgia	Macon	homicide_rate	
13195	Georgia	Madison	homicide_rate	5
13197	Georgia	Marion	homicide_rate	
13199	Georgia	Meriwether	homicide_rate	8
13201	Georgia	Miller	homicide_rate	
13205	Georgia	Mitchell	homicide_rate	
13207	Georgia	Monroe	homicide_rate	6
13209	Georgia	Montgomery	homicide_rate	
13211	Georgia	Morgan	homicide_rate	
13213	Georgia	Murray	homicide_rate	
13215	Georgia	Muscogee	homicide_rate	11
13217	Georgia	Newton	homicide_rate	6
13219	Georgia	Oconee	homicide_rate	
13221	Georgia	Oglethorpe	homicide_rate	
13223	Georgia	Paulding	homicide_rate	3
13225	Georgia	Peach	homicide_rate	5
13227	Georgia	Pickens	homicide_rate	
13229	Georgia	Pierce	homicide_rate	
13231	Georgia	Pike	homicide_rate	
13233	Georgia	Polk	homicide_rate	8
13235	Georgia	Pulaski	homicide_rate	
13237	Georgia	Putnam	homicide_rate	
13239	Georgia	Quitman	homicide_rate	
13241	Georgia	Rabun	homicide_rate	
13243	Georgia	Randolph	homicide_rate	
13245	Georgia	Richmond	homicide_rate	12
13247	Georgia	Rockdale	homicide_rate	7
13249	Georgia	Schley	homicide_rate	
13251	Georgia	Screven	homicide_rate	12
13253	Georgia	Seminole	homicide_rate	
13255	Georgia	Spalding	homicide_rate	6
13257	Georgia	Stephens	homicide_rate	
13259	Georgia	Stewart	homicide_rate	
13261	Georgia	Sumter	homicide_rate	7
13263	Georgia	Talbot	homicide_rate	
13265	Georgia	Taliaferro	homicide_rate	
13267	Georgia	Tattnall	homicide_rate	10
13269	Georgia	Taylor	homicide_rate	
13271	Georgia	Telfair	homicide_rate	11
13273	Georgia	Terrell	homicide_rate	
13275	Georgia	Thomas	homicide_rate	6
13277	Georgia	Tift	homicide_rate	12
13279	Georgia	Toombs	homicide_rate	6
13281	Georgia	Towns	homicide_rate	
13283	Georgia	Treutlen	homicide_rate	
13285	Georgia	Troup	homicide_rate	4
13287	Georgia	Turner	homicide_rate	
13289	Georgia	Twiggs	homicide_rate	
13291	Georgia	Union	homicide_rate	
13293	Georgia	Upson	homicide_rate	
13295	Georgia	Walker	homicide_rate	4
13297	Georgia	Walton	homicide_rate	4
13299	Georgia	Ware	homicide_rate	6
13301	Georgia	Warren	homicide_rate	
13303	Georgia	Washington	homicide_rate	
13305	Georgia	Wayne	homicide_rate	9
13307	Georgia	Webster	homicide_rate	
13309	Georgia	Wheeler	homicide_rate	
13311	Georgia	White	homicide_rate	
13313	Georgia	Whitfield	homicide_rate	3
