FIPS	State	County	Variable	rec_facility_rate
8025	Colorado	Crowley	rec_facility_rate	0
8027	Colorado	Custer	rec_facility_rate	0
8029	Colorado	Delta	rec_facility_rate	3.2
8031	Colorado	Denver	rec_facility_rate	11.3
8033	Colorado	Dolores	rec_facility_rate	0
8035	Colorado	Douglas	rec_facility_rate	12.9
8037	Colorado	Eagle	rec_facility_rate	17.3
8039	Colorado	Elbert	rec_facility_rate	8.7
8041	Colorado	El Paso	rec_facility_rate	8.8
8043	Colorado	Fremont	rec_facility_rate	12.8
8045	Colorado	Garfield	rec_facility_rate	8.9
8047	Colorado	Gilpin	rec_facility_rate	0
8049	Colorado	Grand	rec_facility_rate	13.5
8051	Colorado	Gunnison	rec_facility_rate	26.1
8053	Colorado	Hinsdale	rec_facility_rate	0
8055	Colorado	Huerfano	rec_facility_rate	0
8057	Colorado	Jackson	rec_facility_rate	0
8059	Colorado	Jefferson	rec_facility_rate	11
8061	Colorado	Kiowa	rec_facility_rate	0
8063	Colorado	Kit Carson	rec_facility_rate	24.3
8065	Colorado	Lake	rec_facility_rate	0
8067	Colorado	La Plata	rec_facility_rate	17.5
8069	Colorado	Larimer	rec_facility_rate	14
8071	Colorado	Las Animas	rec_facility_rate	19.4
8073	Colorado	Lincoln	rec_facility_rate	0
8075	Colorado	Logan	rec_facility_rate	8.8
8077	Colorado	Mesa	rec_facility_rate	8.9
8079	Colorado	Mineral	rec_facility_rate	0
8081	Colorado	Moffat	rec_facility_rate	7.2
8083	Colorado	Montezuma	rec_facility_rate	7.8
8085	Colorado	Montrose	rec_facility_rate	14.6
8087	Colorado	Morgan	rec_facility_rate	14.3
8089	Colorado	Otero	rec_facility_rate	10.6
8091	Colorado	Ouray	rec_facility_rate	22.5
8093	Colorado	Park	rec_facility_rate	0
8095	Colorado	Phillips	rec_facility_rate	22.4
8097	Colorado	Pitkin	rec_facility_rate	46.6
8099	Colorado	Prowers	rec_facility_rate	8
8101	Colorado	Pueblo	rec_facility_rate	5
8103	Colorado	Rio Blanco	rec_facility_rate	0
8105	Colorado	Rio Grande	rec_facility_rate	25
8107	Colorado	Routt	rec_facility_rate	21.3
8109	Colorado	Saguache	rec_facility_rate	0
8111	Colorado	San Juan	rec_facility_rate	0
8113	Colorado	San Miguel	rec_facility_rate	13.6
8115	Colorado	Sedgwick	rec_facility_rate	0
8117	Colorado	Summit	rec_facility_rate	17.8
8119	Colorado	Teller	rec_facility_rate	8.5
8121	Colorado	Washington	rec_facility_rate	0
8123	Colorado	Weld	rec_facility_rate	9.4
8125	Colorado	Yuma	rec_facility_rate	0
9001	Connecticut	Fairfield	rec_facility_rate	19.5
9003	Connecticut	Hartford	rec_facility_rate	13
9005	Connecticut	Litchfield	rec_facility_rate	12.6
9007	Connecticut	Middlesex	rec_facility_rate	17.5
9009	Connecticut	New Haven	rec_facility_rate	9.9
9011	Connecticut	New London	rec_facility_rate	9.5
9013	Connecticut	Tolland	rec_facility_rate	10.5
9015	Connecticut	Windham	rec_facility_rate	11
10001	Delaware	Kent	rec_facility_rate	8
10003	Delaware	New Castle	rec_facility_rate	16.3
10005	Delaware	Sussex	rec_facility_rate	13.1
11001	District of Columbia	District of Columbia	rec_facility_rate	11.6
12001	Florida	Alachua	rec_facility_rate	11.7
12003	Florida	Baker	rec_facility_rate	14.8
12005	Florida	Bay	rec_facility_rate	7.7
12007	Florida	Bradford	rec_facility_rate	3.5
12009	Florida	Brevard	rec_facility_rate	7.2
12011	Florida	Broward	rec_facility_rate	9.8
12013	Florida	Calhoun	rec_facility_rate	0
12015	Florida	Charlotte	rec_facility_rate	8.1
12017	Florida	Citrus	rec_facility_rate	5.7
12019	Florida	Clay	rec_facility_rate	7.8
12021	Florida	Collier	rec_facility_rate	9.6
12023	Florida	Columbia	rec_facility_rate	13.3
12027	Florida	DeSoto	rec_facility_rate	2.9
12029	Florida	Dixie	rec_facility_rate	0
12031	Florida	Duval	rec_facility_rate	9.5
