Latitude,Longitude,BactRelAbundance,FirmRelAbundance
33.7911,-111.809,0.7425,0.2477
39.5835785,-104.8571368,0.389,0.5201
45.771,-94.1702,0.5423,0.3512
33.8092255,-84.2805478,0.1646,0.8141
32.2992109,-110.8433709,0.2275,0.6096
37.4284,-122.072,0.85,0.1375
37.68,-122.486,0.2362,0.5299
37.4178,-122.124,0.5867,0.3251
33.771,-84.2963,0.4765,0.4383
28.5417016,-81.2408689,0.1561,0.4878
38.052508,-103.7202274,0.2428,0.0566
42.3504,-71.1864,0.3569,0.5615
40.6986772,-73.9859414,0.1006,0.0371
38.8167099,-77.1082444,0.6739,0.3122
34.1066756,-117.8067257,0.0058,0.969
38.0468188,-84.4946871,0.7738,0.1952
42.4816448,-72.4849861,0.2295,0.6717
39.7316982,-104.9213643,0.0891,0.8831
38.9656971,-77.0622028,0.7737,0.1799
25.7857,-80.1401,0.0869,0.4322
42.5093,-83.773,0.533,0.4074
36.0097,-80.2879,0.3696,0.618
41.8450803,-75.0319086,0.5149,0.4232
40.4675835,-74.6628114,0.3764,0.6139
34.2722878,-118.0256071,0.0605,0.9102
41.611143,-86.7227195,0.7377,0.1872
43.2702778,-71.1261111,0.5756,0.2354
29.538966,-98.4239055,0.6137,0.3696
40.7787902,-73.9065883,0.2384,0.6957
29.9654,-90.063,0.5161,0.4729
30.3870686,-97.7036561,0.0411,0.9222
32.9437,-117.209,0.3017,0.2235
42.963947,-78.7378091,0.4563,0.3027
42.529167,-71.35,0.8487,0.1359
41.3521658,-71.7978333,0.3256,0.5979
41.9096,-72.7659,0.1818,0.785
38.3019,-85.5766,0.0012,0.9855
36.1482,-86.7366,0.4123,0.531
38.3517,-81.6336,0.1715,0.6786
34.1103407,-118.2585096,0.4991,0.4768
41.7566802,-73.2057595,0.7857,0.1713
40.7317,-74.0094,0.6043,0.3802
38.1211819,-85.9741324,0.4074,0.2323
49.3545989,-123.2621464,0.5435,0.2988
41.1091,-81.6583,0.5886,0.3603
38.7788889,-90.6030556,0.6155,0.3477
40.8138912,-73.9624327,0.7585,0.2309
40.6986772,-73.9859414,0.4769,0.5153
39.7183,-104.889,0.1362,0.8179
39.7619,-104.921,0.6282,0.3373
42.563,-92.5,0.5158,0.4639
47.6600087,-122.3425575,0.2739,0.6557
40.2045042,-74.6605787,0.442,0.2263
35.2441,-106.617,0.5666,0.4157
39.7031345,-105.0836157,0.0362,0.5449
37.7712165,-122.2824021,0.4735,0.4227
40.0454736,-105.2838511,0.3743,0.5513
38.891565,-121.2930079,0.4181,0.4634
40.8017423,-73.9550857,0.5262,0.4436
37.95,-104.83,0.3659,0.3729
45.4874111,-122.6875541,0.3081,0.486
39.6167,-104.875,0.4088,0.5645
47.61,-122.33,0.7284,0.2089
37.9161326,-122.310765,0.5229,0.4676
42.4643,-83.4056,0.192,0.1189
37.3290122,-121.9160211,0.7255,0.1942
37.7272727,-89.2167501,0.4728,0.4685
25.7050697,-80.2907618,0.4273,0.529
39.0817119,-76.5546031,0.5486,0.3903
44.9517,-93.1629,0.1213,0.7757
33.7700012,-84.3811458,0.4849,0.4851
34.0963058,-118.4980744,0.3024,0.6435
64.7511111,-147.3494444,0.5972,0.3372
41.1595399,-73.764855,0.873,0.1038
30.3732514,-97.8395151,0.2702,0.6848
39.9616798,-85.9406745,0.3427,0.6169
40.0149856,-105.2705456,0.3509,0.4535
43.5921208,-116.1933302,0.0215,0.4934
30.0442264,-95.2162283,0.6518,0.2516
40.8557765,-73.9447994,0.2548,0.633
42.246,-87.8648,0.7852,0.1994
40.0149856,-105.2705456,0.3561,0.4515
43.1156,-77.5562,0.238,0.7473
40.5569121,-80.0199562,0.4563,0.4581
30.181965,-97.9701846,0.4,0.5264
64.7511111,-147.3494444,0.4889,0.3582
41.1091,-81.6583,0.3723,0.5747
36.1286,-115.171,0.2599,0.73
35.5692059,-82.6159271,0.5536,0.4105
42.0591155,-80.1540226,0.463,0.4707
40.7214251,-89.2728627,0.4924,0.249
37.3868,-122.075,0.5061,0.476
34.225,-118.2369444,0.5432,0.4073
45.6373,-118.812,0.5259,0.4254
39.1495912,-84.3909991,0.0897,0.9014
40.8011,-73.3473,0.5343,0.4488
40.8217,-96.6692,0.1793,0.8142
35.1894,-106.588,0.3302,0.6549
38.9451658,-77.0622028,0.2426,0.7208
42.3328027,-71.1389101,0.5071,0.4777
44.0520691,-123.0867536,0.3881,0.5781
41.0529585,-73.5387991,0.4535,0.5255
47.0378741,-122.9006951,0.0045,0.9676
42.6695,-76.6297,0.3563,0.6109
33.3651,-111.75,0.2253,0.766
41.4274087,-73.1467619,0.6126,0.3451
40.2109404,-75.2782317,0.4507,0.5257
41.0289331,-73.9506774,0.5825,0.3973
30.6563999,-96.3172906,0.4023,0.4075
34.2024,-119.18,0.1982,0.7903
40.0406,-105.208,0.5413,0.4339
38.9452,-77.0622,0.2688,0.6642
42.3991718,-71.1240559,0.2441,0.7261
42.9453,-85.6126,0.3681,0.476
35.1376546,-89.7661527,0.3983,0.4564
33.7646,-117.881,0.7289,0.2425
38.6507,-121.257,0.3794,0.606
40.1573,-105.009,0.5926,0.3965
40.0454736,-105.2838511,0.5167,0.449
40.2301763,-74.9368085,0.4117,0.3737
42.0996,-77.3095,0.016,0.9479
37.5841026,-122.3660825,0.4738,0.4591
35.7698044,-78.7816219,0.788,0.2074
40.7226698,-73.5181833,0.3154,0.5494
